"genusName","feeding","basal","enrichment","structure","cp","GenavgMass","GenavgCPr","GenavgCRs","GenavgMFP","GenavgEFP","GenavgSFP","GenavgHFP","GenavgFFP","GenavgBFP","GenavgPFP","StderrMass","StderrCPr","StderrCRs","StderrMFP","StderrEFP","StderrSFP","StderrHFP","StderrFFP","StderrBFP","StderrPFP"
"Ablechroiulus","3","0.0","3.2","0.0","1","4.1445","0.4145","0.7019","1.1164","1.1164","0.0","0.0","0.0","1.1164","0.0","1.3093","0.1309","0.168","0.2985","0.2985","0.0","0.0","0.0","0.2985","0.0"
"Acantholaimus","0","0.0","0.0","1.8","3","1.024","0.0341","0.2391","0.2732","0.0","0.2732","0.0","0.0","0.0","0.0","0.216","0.0072","0.0381","0.0452","0.0","0.0452","0.0","0.0","0.0","0.0"
"Acanthopharynx","0","0.0","0.0","1.8","3","2.7541","0.0918","0.5836","0.6754","0.0","0.6754","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Acephalodorylaimus","2","0.0","0.0","3.2","4","0.126","0.0031","0.0577","0.0609","0.0","0.0609","0.0","0.0609","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Achromadora","5","0.0","0.0","1.8","3","0.3132","0.0104","0.1047","0.1151","0.0","0.1151","0.0","0.0","0.0","0.1151","0.0956","0.0032","0.0235","0.0266","0.0","0.0266","0.0","0.0","0.0","0.0266"
"Acontylus","1","0.0","0.0","0.0","3","0.3994","0.0133","0.1371","0.1505","0.0","0.0","0.1505","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Acrobeles","3","0.8","0.0","0.0","2","0.6403","0.032","0.1815","0.2135","0.0","0.0","0.0","0.0","0.2135","0.0","0.1538","0.0077","0.0319","0.0395","0.0","0.0","0.0","0.0","0.0395","0.0"
"Acrobeloides","3","0.8","0.0","0.0","2","1.1939","0.0597","0.2603","0.3199","0.0","0.0","0.0","0.0","0.3199","0.0","0.4938","0.0247","0.0811","0.1056","0.0","0.0","0.0","0.0","0.1056","0.0"
"Acrobelophis","3","0.8","0.0","0.0","2","0.2465","0.0123","0.0872","0.0995","0.0","0.0","0.0","0.0","0.0995","0.0","0.1717","0.0086","0.0483","0.0569","0.0","0.0","0.0","0.0","0.0569","0.0"
"Acrolobus","3","0.8","0.0","0.0","2","0.1356","0.0068","0.061","0.0678","0.0","0.0","0.0","0.0","0.0678","0.0","6.0E-4","0.0","2.0E-4","2.0E-4","0.0","0.0","0.0","0.0","2.0E-4","0.0"
